id,cases,disease,years,year,,,head
0,7757,Flu,Jan,1,,,TRUE
1,24718,Measles,Jan,1,,,TRUE
2,12608,Chickenpox,Jan,1,,,TRUE
3,494,Polio,Jan,1,,,TRUE
4,28920,Flu,Feb,2,,,
5,43936,Measles,Feb,2,,,
6,15128,Chickenpox,Feb,2,,,
7,416,Polio,Feb,2,,,
8,43375,Flu,Mar,3,,,
9,71277,Measles,Mar,3,,,
10,19720,Chickenpox,Mar,3,,,
11,261,Polio,Mar,3,,,
12,22532,Flu,Apr,4,,,
13,77514,Measles,Apr,4,,,
14,17756,Chickenpox,Apr,4,,,
15,285,Polio,Apr,4,,,
16,6493,Flu,May,5,,,
17,70261,Measles,May,5,,,
18,22843,Chickenpox,May,5,,,
19,428,Polio,May,5,,,
20,2104,Flu,Jun,6,,,
21,38654,Measles,Jun,6,,,
22,16721,Chickenpox,Jun,6,,,
23,981,Polio,Jun,6,,,
24,1260,Flu,Jul,7,,,
25,13079,Measles,Jul,7,,,
26,4162,Chickenpox,Jul,7,,,
27,4542,Polio,Jul,7,,,
28,1566,Flu,Aug,8,,,
29,3771,Measles,Aug,8,,,
30,1989,Chickenpox,Aug,8,,,
31,12838,Polio,Aug,8,,,
32,2260,Flu,Sep,9,,,
33,2033,Measles,Sep,9,,,
34,1135,Chickenpox,Sep,9,,,
35,16348,Polio,Sep,9,,,
36,4751,Flu,Oct,10,,,
37,3575,Measles,Oct,10,,,
38,2994,Chickenpox,Oct,10,,,
39,12515,Polio,Oct,10,,,
40,18494,Flu,Nov,11,,,
41,10179,Measles,Nov,11,,,
42,7204,Chickenpox,Nov,11,,,
43,5589,Polio,Nov,11,,,
44,197942,Flu,Dec,12,,,
45,21949,Measles,Dec,12,,,
46,12945,Chickenpox,Dec,12,,,
47,2310,Polio,Dec,12,,,
